,Customer_ID,Customer_Name,Age,Gender,Location,Product_Category,Product_ID,Purchase_Date,Purchase_Amount,Payment_Method,Rating,Feedback_Comments,Customer_Lifetime_Value,Loyalty_Score,Discount_Applied,Return_Status,Customer_Segment,Preferred_Shopping_Channel,id_name_meerge,CID_PID_CH,CID_PID,log1p_Purchase_Amount,log1p_Customer_Lifetime_Value,log1p_Loyalty_Score,is_discount,is_return,is_online,is_instore,is_both,last_purchase,frequency,monetary,avg_purchase,avg_rating,discount_rate,return_rate,online_share,instore_share,both_share,loyalty_avg,clv_latest,clv_mean,recency_days,loyalty_score_engineered,Customer_Segment_Recomputed,_merge
0,17270,John,56.0,Other,New York,Books,674,2020-01-01,491.6430115939084,Cash,,,3673.7127471287,60,No,No,Regular,In-Store,17270_John,17270_674_In-store,674_John,6.199784797331239,8.209230244545356,4.110873864173311,0,0,0,1,0,2020-01-01,1,491.6430115939084,491.6430115939084,0.0,0.0,0.0,0.0,1.0,0.0,60.0,3673.7127471287,3673.7127471287,83,25,New,both
1,10860,Eve,33.0,Other,Houston,Home Appliances,393,2020-01-01,144.3267219240498,Cash,5.0,Good,2103.060388103142,29,Yes,Yes,New,In-Store,10860_Eve,10860_393_In-store,393_Eve,4.9789844622978805,7.651624275015653,3.4011973816621555,1,1,0,1,0,2020-01-01,1,144.3267219240498,144.3267219240498,5.0,1.0,1.0,0.0,1.0,0.0,29.0,2103.060388103142,2103.060388103142,83,8,New,both
2,15390,John,50.0,Female,Houston,Clothing,995,2020-01-01,109.3018917753112,Bank Transfer,,,899.1150591856137,92,No,No,VIP,Online,15390_John,15390_995_Online,995_John,4.703221077293803,6.802522598692593,4.532599493153256,0,0,1,0,0,2020-03-04,2,308.303081028211,154.1515405141055,1.0,0.0,0.5,1.0,0.0,0.0,77.5,2202.633242336157,1550.8741507608852,20,29,New,both
3,15191,Eve,66.0,Other,San Francisco,Electronics,405,2020-01-01,226.6555157554255,Bank Transfer,2.0,Excellent,2591.13771644049,62,Yes,Yes,Regular,Online,15191_Eve,15191_405_Online,405_Eve,5.427833590590831,7.860238187403527,4.143134726391533,1,1,1,0,0,2020-01-01,1,226.6555157554255,226.6555157554255,2.0,1.0,1.0,1.0,0.0,0.0,62.0,2591.13771644049,2591.13771644049,83,12,New,both
4,15734,Eve,38.0,Female,New York,Toys,353,2020-01-01,37.85187964907034,Bank Transfer,2.0,,548.6203971454596,80,No,Yes,Regular,Both,15734_Eve,15734_353_Both,353_Eve,3.6597564578587276,6.309227852929559,4.394449154672439,0,1,0,0,1,2020-01-01,1,37.85187964907034,37.85187964907034,2.0,0.0,1.0,0.0,0.0,1.0,80.0,548.6203971454596,548.6203971454596,83,3,New,both
5,16265,Bob,26.0,Other,New York,Clothing,279,2020-01-01,489.4622876891775,PayPal,3.0,,2727.555898669597,46,No,No,Regular,Online,16265_Bob,16265_279_Online,279_Bob,6.195348390604479,7.911527773376152,3.8501476017100584,0,0,1,0,0,2020-01-01,1,489.4622876891775,489.4622876891775,3.0,0.0,0.0,1.0,0.0,0.0,46.0,2727.555898669597,2727.555898669597,83,25,New,both
6,10466,Charlie,23.0,Female,New York,Clothing,139,2020-01-01,298.3324426440482,PayPal,4.0,,3076.554423084574,26,No,No,New,Both,10466_Charlie,10466_139_Both,139_Charlie,5.701554804052987,8.031890542088947,3.295836866004329,0,0,0,0,1,2020-01-01,1,298.3324426440482,298.3324426440482,4.0,0.0,0.0,0.0,0.0,1.0,26.0,3076.554423084574,3076.554423084574,83,16,New,both
7,14426,Eve,68.0,Other,Chicago,Books,875,2020-01-01,282.9065249154459,Bank Transfer,4.0,Bad,3269.74572904248,28,No,No,New,Online,14426_Eve,14426_875_Online,875_Eve,5.648645046361861,8.092773289586413,3.367295829986474,0,0,1,0,0,2020-01-01,1,282.9065249154459,282.9065249154459,4.0,0.0,0.0,1.0,0.0,0.0,28.0,3269.74572904248,3269.74572904248,83,15,New,both
8,15578,Bob,62.0,Other,Chicago,Electronics,800,2020-01-01,331.3401771508628,Credit Card,2.0,,4319.156456370234,92,Yes,No,VIP,Online,15578_Bob,15578_800_Online,800_Bob,5.806159074313976,8.371046897334715,4.532599493153256,1,0,1,0,0,2020-01-01,1,331.3401771508628,331.3401771508628,2.0,1.0,0.0,1.0,0.0,0.0,92.0,4319.156456370234,4319.156456370234,83,17,New,both
9,18322,Charlie,52.0,Male,San Francisco,Books,619,2020-01-01,253.5415874108313,Credit Card,3.0,Average,3428.350801832161,59,No,No,Regular,Both,18322_Charlie,18322_619_Both,619_Charlie,5.539464230934929,8.140126251643176,4.0943445622221,0,0,0,0,1,2020-01-01,1,253.5415874108313,253.5415874108313,3.0,0.0,0.0,0.0,0.0,1.0,59.0,3428.350801832161,3428.350801832161,83,13,New,both
